iter,r2_collision,r2_near,r2_neighbors,r2_total,r2_path
162,13.76384162902832,0.02814340591430664,0.0324556827545166,13.83265471458435,4.421039568412394
163,13.87182354927063,0.028365373611450195,0.03360247611999512,13.942064762115479,3.9999999999999987
164,13.895411491394043,0.02940511703491211,0.03385448455810547,13.967058897018433,2.4000000000000004
165,13.895411491394043,0.029638051986694336,0.03385448455810547,13.967301845550537,2.4000000000000004
166,14.018247842788696,0.029860973358154297,0.03413820266723633,14.090694904327393,2.4000000000000004
167,14.118818759918213,0.030092954635620117,0.03444528579711914,14.191848754882812,2.4000000000000004
168,14.240817785263062,0.03038311004638672,0.03469109535217285,14.314498662948608,1.0000000000000002
169,14.240817785263062,0.030686378479003906,0.03469109535217285,14.314816951751709,1.0000000000000002
170,14.240817785263062,0.030991554260253906,0.03469109535217285,14.315124988555908,1.0000000000000002
171,14.26294469833374,0.031281471252441406,0.03493213653564453,14.337830781936646,1.0000000000000002
172,14.26294469833374,0.0315091609954834,0.03493213653564453,14.338064670562744,1.0000000000000002
173,14.280982732772827,0.031735897064208984,0.03516817092895508,14.356592893600464,1.0000000000000002
174,14.383656740188599,0.0319666862487793,0.03543829917907715,14.459802865982056,1.0000000000000002
175,14.506136894226074,0.03221464157104492,0.03568434715270996,14.582849740982056,1.0000000000000002
176,14.526299953460693,0.03249049186706543,0.03593730926513672,14.603586673736572,1.0000000000000002
177,14.658230066299438,0.03273940086364746,0.03716635704040527,14.737046003341675,1.0000000000000002
178,14.78218126296997,0.03298544883728027,0.037705183029174805,14.861840724945068,1.0000000000000002
179,14.78218126296997,0.033231496810913086,0.037705183029174805,14.862099885940552,1.0000000000000002
180,14.909517288208008,0.03346753120422363,0.039374351501464844,14.991406679153442,1.0000000000000002
181,14.909517288208008,0.03371143341064453,0.039374351501464844,14.991660594940186,1.0000000000000002
182,15.037940263748169,0.03394937515258789,0.04021811485290527,15.121222734451294,1.0000000000000002
183,15.140658140182495,0.03422236442565918,0.04189729690551758,15.225965738296509,1.0000000000000002
184,15.16262698173523,0.035555362701416016,0.042159318923950195,15.24965786933899,1.0000000000000002
185,15.263337135314941,0.03579854965209961,0.04345870018005371,15.351971864700317,1.0000000000000002
186,15.305577278137207,0.03702545166015625,0.04373574256896973,15.395853757858276,1.0000000000000002
187,15.424660205841064,0.0372776985168457,0.04401254653930664,15.515520811080933,1.0000000000000002
188,15.551422119140625,0.03752636909484863,0.04431962966918945,15.642896890640259,1.0000000000000002
189,15.551422119140625,0.0377802848815918,0.04431962966918945,15.643162727355957,1.0000000000000002
190,15.678467988967896,0.03802227973937988,0.04465961456298828,15.770834922790527,1.0000000000000002
191,15.808783292770386,0.03827714920043945,0.046387672424316406,15.903195858001709,1.0000000000000002
192,15.915576219558716,0.03857135772705078,0.04760885238647461,16.011569023132324,1.0000000000000002
193,16.04397439956665,0.03948330879211426,0.047931671142578125,16.141321897506714,1.0000000000000002
194,16.04397439956665,0.03976750373840332,0.047931671142578125,16.141618013381958,1.0000000000000002
195,16.171425342559814,0.04003763198852539,0.04821467399597168,16.269681930541992,1.0000000000000002
196,16.171425342559814,0.04031944274902344,0.04821467399597168,16.26997685432434,1.0000000000000002
197,16.171425342559814,0.04058957099914551,0.04821467399597168,16.27024793624878,1.0000000000000002
198,16.171425342559814,0.04085946083068848,0.04821467399597168,16.27051877975464,1.0000000000000002
199,16.19111156463623,0.04112958908081055,0.04849052429199219,16.29078483581543,0.9000000000000002
200,16.31646466255188,0.041382789611816406,0.04880857467651367,16.41675877571106,0.9000000000000002
201,16.441584825515747,0.04164290428161621,0.0491335391998291,16.542521953582764,0.9000000000000002
202,16.441584825515747,0.04190492630004883,0.0491335391998291,16.54279589653015,0.9000000000000002
203,16.441584825515747,0.042160987854003906,0.0491335391998291,16.54305386543274,0.9000000000000002
204,16.57308077812195,0.042413949966430664,0.04948568344116211,16.6752028465271,0.9000000000000002
205,16.672844648361206,0.04267573356628418,0.05159354209899902,16.777402877807617,0.9000000000000002
206,16.69737458229065,0.043703556060791016,0.051889896392822266,16.803374767303467,0.9000000000000002
207,16.82883882522583,0.0439915657043457,0.05334162712097168,16.936643600463867,0.9000000000000002
208,16.93910789489746,0.04426693916320801,0.05364680290222168,17.047536849975586,0.9000000000000002
209,17.068715810775757,0.04455089569091797,0.05391883850097656,17.17781352996826,0.4
210,17.090243816375732,0.04568982124328613,0.05421900749206543,17.200880765914917,0.4
211,17.19465661048889,0.04595589637756348,0.05535626411437988,17.306751489639282,0.4
212,17.324775457382202,0.0465700626373291,0.05565953254699707,17.437939405441284,0.4
213,17.4553964138031,0.04730701446533203,0.05596160888671875,17.569750547409058,0.4
214,17.474520444869995,0.048374176025390625,0.056275367736816406,17.59035348892212,0.4
215,17.474520444869995,0.048645973205566406,0.056275367736816406,17.590633392333984,0.4
216,17.607345581054688,0.048913002014160156,0.0565953254699707,17.724088668823242,0.4
217,17.712425708770752,0.04918789863586426,0.056914329528808594,17.82980251312256,0.4
218,17.712425708770752,0.049479007720947266,0.056914329528808594,17.83010458946228,0.4
219,17.712425708770752,0.04976987838745117,0.056914329528808594,17.8303964138031,0.4
220,17.712425708770752,0.05006003379821777,0.056914329528808594,17.830687522888184,0.4
221,17.843480825424194,0.050350189208984375,0.05720233917236328,17.96237850189209,0.4
222,17.843480825424194,0.05065131187438965,0.05720233917236328,17.962689638137817,0.4
223,17.843480825424194,0.050942420959472656,0.05720233917236328,17.962981700897217,0.4
224,17.97883701324463,0.051236629486083984,0.057491302490234375,18.098976612091064,0.4
225,18.077212810516357,0.05153656005859375,0.05951046943664551,18.199748754501343,0.4
226,18.20913290977478,0.05361437797546387,0.05984663963317871,18.334256649017334,0.4
227,18.231756925582886,0.05398058891296387,0.060147762298583984,18.357595443725586,0.4
228,18.333119869232178,0.054271697998046875,0.061087608337402344,18.460232496261597,0.4
229,18.376161813735962,0.0551457405090332,0.06144285202026367,18.504610538482666,0.4
230,18.488703966140747,0.05544090270996094,0.06175994873046875,18.61781668663025,0.4
231,18.488703966140747,0.05573463439941406,0.06175994873046875,18.61812162399292,0.4
232,18.588735818862915,0.05602550506591797,0.06392383575439453,18.720683574676514,0.4
233,18.717076778411865,0.05763649940490723,0.06425595283508301,18.851194620132446,0.4
234,18.744959831237793,0.059711456298828125,0.06459212303161621,18.881627559661865,0.4
235,18.87571382522583,0.06001734733581543,0.0658113956451416,19.013978481292725,0.4
236,19.004846811294556,0.0603182315826416,0.0661773681640625,19.143839597702026,0.049999999999999954
237,19.099969625473022,0.06062912940979004,0.06665658950805664,19.23979878425598,0.049999999999999954
