r1_collision,r1_near,r1_neighbors,r1_total,r1_path,r2_collision,r2_near,r2_neighbors,r2_total,r2_path
6.79761266708374,0.03587460517883301,0.04565310478210449,6.887618780136108,0.0,7.007061958312988,0.043253421783447266,0.054258108139038086,7.113856077194214,0.0
12.419992685317993,0.11179256439208984,0.13071680068969727,12.677857637405396,0.15,14.09644865989685,0.11759257316589355,0.19457435607910156,14.42549204826355,0.0
18.01690649986267,0.22699475288391113,0.28638172149658203,18.55146884918213,1.7000000000000006,18.271769762039185,0.23295879364013672,0.28960418701171875,18.81548261642456,0.4499999999999998
23.39576745033264,0.37459826469421387,0.42441391944885254,24.220569849014282,0.1499999999999999,24.414411544799805,0.38397645950317383,0.4605419635772705,25.285396814346313,0.14999999999999997
29.459968328475952,0.5646500587463379,0.6414120197296143,30.698872566223145,0.44999999999999984,29.00442147254944,0.5669293403625488,0.5976247787475586,30.201003074645996,0.25
34.24392628669739,0.7776608467102051,0.8129713535308838,35.87403082847595,0.44999999999999984,34.89432668685913,0.7887094020843506,0.8079805374145508,36.52952861785889,0.10000000000000003
37.52767896652222,0.9593820571899414,0.936084508895874,39.46408557891846,0.2000000000000001,42.2365243434906,1.0590364933013916,1.1116507053375244,44.451324701309204,0.09999999999999999
48.62509894371033,1.3295321464538574,1.381143569946289,51.388067960739136,0.20000000000000004,47.89628601074219,1.3600881099700928,1.3450331687927246,50.65299916267395,0.05000000000000003
55.54491472244263,1.709646224975586,1.6967835426330566,59.008899211883545,0.39999999999999997,52.405885457992554,1.6075899600982666,1.5067877769470215,55.57338261604309,0.04999999999999999
60.8296582698822,2.0358200073242188,1.9441044330596924,64.87011456489563,0.09999999999999998,58.05964159965515,1.9891810417175293,1.8735747337341309,61.983534812927246,0.15000000000000002
115.00024390220642,7.508249759674072,5.870750188827515,128.49259090423584,0.09999999999999996,119.17525219917297,7.667084455490112,6.116324424743652,133.0766487121582,0.1999999999999999
198.62766575813293,16.953209400177002,13.527123928070068,229.61303210258484,0.24999999999999994,185.97808718681335,16.437307834625244,12.919416904449463,215.52354335784912,0.35
242.51876997947693,27.701563119888306,20.078241109848022,290.7379105091095,0.14999999999999994,265.693927526474,28.452198028564453,20.622435569763184,315.55247473716736,0.050000000000000044
333.26145100593567,43.232101917266846,32.41585302352905,409.2049980163574,0.15000000000000002,319.80338287353516,44.09172177314758,32.14428949356079,397.53472089767456,0.35000000000000003
